!SIL	sil
<unk>	spn
a	a
abaissement	a b eo5 s oE M a~
abandon	a b a~ d o~
abandonne	a b a~ d oc5 n
abandonne	a b a~ d oc5 n oE
abandonner	a b a~ d oc5 n e
abandonner	a b a~ d oc5 n e R
abandonné	a b a~ d oc5 n e
abandonnée	a b a~ d oc5 n e
abandonnées	a b a~ d oc5 n e
abandonnées	a b a~ d oc5 n e z
abandonnés	a b a~ d oc5 n e
abandonnés	a b a~ d oc5 n e z
abandons	a b a~ d o~
abandons	a b a~ d o~ z
abattues	a b a t ue
abattues	a b a t ue z
abdiquait	a b d i k eo5
abdiquait	a b d i k eo5 t
abdomen	a b d oc5 M eo5 n
abdominales	a b d oc5 M i n a l
abdominales	a b d oc5 M i n a l z
abduction	a b d ue k s j o~
abduction	a b d ue k s j o~ n
abduction	a b d ue k s i o~
abduction	a b d ue k s i o~ n
aberrantes	a b eo5 R a~ t
aberrantes	a b eo5 R a~ t z
aberrations	a b eo5 R a s j o~
aberrations	a b eo5 R a s j o~ z
abiotiques	a b j oc5 t i k
abiotiques	a b j oc5 t i k z
aboiements	a b uu a M a~
aboiements	a b uu a M a~ z
abolie	a b oc5 l i
abolira	a b oc5 l i R a
abolition	a b oc5 l i s j o~
abolitionnistes	a b oc5 l i s j oc5 n i s t
abolitionnistes	a b oc5 l i s j oc5 n i s t z
abondamment	a b o~ d a M a~
abondamment	a b o~ d a M a~ t
abondance	a b o~ d a~ s
abondance	a b o~ d a~ s oE
abondant	a b o~ d a~
abondant	a b o~ d a~ t
abondante	a b o~ d a~ t
abondante	a b o~ d a~ t oE
abondantes	a b o~ d a~ t
abondantes	a b o~ d a~ t z
abondants	a b o~ d a~
abondants	a b o~ d a~ z
abondent	a b o~ d
abondent	a b o~ d oE t
abonnement	a b oc5 n oE M a~
abonnements	a b oc5 n oE M a~
abonnements	a b oc5 n oE M a~ z
abonner	a b oc5 n e
abonner	a b oc5 n e R
abonné	a b oc5 n e
abonnée	a b oc5 n e
abonnés	a b oc5 n e
abonnés	a b oc5 n e z
abord	a b oc5 R
abordable	a b oc5 R d a b l
abordable	a b oc5 R d a b l oE
abordables	a b oc5 R d a b l
abordables	a b oc5 R d a b l z
abordaient	a b oc5 R d eo5
abordaient	a b oc5 R d eo5 t
abordant	a b oc5 R d a~
abordant	a b oc5 R d a~ t
aborde	a b oc5 R d
aborde	a b oc5 R d oE
abordent	a b oc5 R d
abordent	a b oc5 R d oE t
aborder	a b oc5 R d e
aborder	a b oc5 R d e R
abordera	a b oc5 R d oE R a
aborderez	a b oc5 R d oE R e
aborderez	a b oc5 R d oE R e z
aborderons	a b oc5 R d oE R o~
aborderons	a b oc5 R d oE R o~ z
abordons	a b oc5 R d o~
abordons	a b oc5 R d o~ z
abords	a b oc5 R
abords	a b oc5 R z
abordé	a b oc5 R d e
abordée	a b oc5 R d e
abordées	a b oc5 R d e
abordées	a b oc5 R d e z
