!SIL	sil
<unk>	spn
a	a
abaissement	a B E S AE M A~
abandon	a B A~ D o~
abandonne	a B A~ D O N
abandonne	a B A~ D O N AE
abandonner	a B A~ D O N e
abandonner	a B A~ D O N e R
abandonné	a B A~ D O N e
abandonnée	a B A~ D O N e
abandonnées	a B A~ D O N e
abandonnées	a B A~ D O N e Z
abandonnés	a B A~ D O N e
abandonnés	a B A~ D O N e Z
abandons	a B A~ D o~
abandons	a B A~ D o~ Z
abattues	a B a T y
abattues	a B a T y Z
abdiquait	a B D i K E
abdiquait	a B D i K E T
abdomen	a B D O M E N
abdominales	a B D O M i N a L
abdominales	a B D O M i N a L Z
abduction	a B D y K S J o~
abduction	a B D y K S J o~ N
abduction	a B D y K S i o~
abduction	a B D y K S i o~ N
aberrantes	a B E R A~ T
aberrantes	a B E R A~ T Z
aberrations	a B E R a S J o~
aberrations	a B E R a S J o~ Z
abiotiques	a B J O T i K
abiotiques	a B J O T i K Z
aboiements	a B W a M A~
aboiements	a B W a M A~ Z
abolie	a B O L i
abolira	a B O L i R a
abolition	a B O L i S J o~
abolitionnistes	a B O L i S J O N i S T
abolitionnistes	a B O L i S J O N i S T Z
abondamment	a B o~ D a M A~
abondamment	a B o~ D a M A~ T
abondance	a B o~ D A~ S
abondance	a B o~ D A~ S AE
abondant	a B o~ D A~
abondant	a B o~ D A~ T
abondante	a B o~ D A~ T
abondante	a B o~ D A~ T AE
abondantes	a B o~ D A~ T
abondantes	a B o~ D A~ T Z
abondants	a B o~ D A~
abondants	a B o~ D A~ Z
abondent	a B o~ D
abondent	a B o~ D AE T
abonnement	a B O N AE M A~
abonnements	a B O N AE M A~
abonnements	a B O N AE M A~ Z
abonner	a B O N e
abonner	a B O N e R
abonné	a B O N e
abonnée	a B O N e
abonnés	a B O N e
abonnés	a B O N e Z
abord	a B O R
abordable	a B O R D a B L
abordable	a B O R D a B L AE
abordables	a B O R D a B L
abordables	a B O R D a B L Z
abordaient	a B O R D E
abordaient	a B O R D E T
abordant	a B O R D A~
abordant	a B O R D A~ T
aborde	a B O R D
