!SIL	sil
<unk>	spn
0	s e rf o
00	s e rf o s e rf o
01	s e rf o u n o
02	s e rf o D o s
04	s e rf o k w a t rf o
05	s e rf o s i ng k o
07	s e rf o s j e t e
08	s e rf o o tS o
1	u n o
10	d j e s
100	s j e ng
1000	m i l
10000	d j e s m i l
100000	s j e n m i l
10200	d j e s m i l d o s j e n t o s
103	s j e n t o t rf e s
105	s j e n t o s i ng k o
10500	d j e s m i l k i n j e n t o s
105595	s j e n t o s i ng k o m i l k i n j e n t o s n o b e n t a i s i ng k o
1056	m i l s i ng k w e n t a i s eI s
1059	m i l s i ng k w e n t a i n w e b e
106	s j e n t o s eI s
107	s j e n t o s j e t e
10700	d j e s m i l s e t e s j e n t o s
1071	m i l s e t e n t a i u n o
109	s j e n t o n w e b e
1096	m i l n o b e n t a i s eI s
11	o n s e
110	s j e n t o D j e s
1101	m i l s j e n t o u n o
111074	s j e n t o o n s e m i l s e t e n t a i k w a t rf o
112	s j e n t o D o s e
1128000	u n m i L o+ n s j e n t o b eI n t i o tS o m i l
114	s j e n t o k a t o rf s e
115	s j e n t o k i n s e
116	s j e n t o D j e s i s eI s
117	s j e n t o D j e s i s j e t e
1170	m i l s j e n t o s e t e n t a
12	d o s e
1200	m i l d o s j e n t o s
12000	d o s e m i l
120000	s j e n t o b eI n t e m i l
123	s j e n t o b eI n t i t rf e s
124	s j e n t o b eI n t i k w a t rf o
1240	m i l d o s j e n t o s k w a rf e n t a
125	s j e n t o b eI n t i s i ng k o
128	s j e n t o b eI n t i o tS o
13	t rf e s e
130	s j e n t o t rf eI n t a
1300	m i l t rf e s j e n t o s
13000	t rf e s e m i l
1303	m i l t rf e s j e n t o s t rf e s
13259	t rf e s e m i l d o s j e n t o s s i ng k w e n t a i n w e b e
133	s j e n t o t rf eI n t a i t rf e s
134	s j e n t o t rf eI n t a i k w a t rf o
135	s j e n t o t rf eI n t a i s i ng k o
1363	m i l t rf e s j e n t o s s e s e n t a i t rf e s
137	s j e n t o t rf eI n t a i s j e t e
138	s j e n t o t rf eI n t a i o tS o
13834	t rf e s e m i l o tS o s j e n t o s t rf eI n t a i k w a t rf o
14	k a t o rf s e
14000	k a t o rf s e m i l
142	s j e n t o k w a rf e n t a i D o s
145	s j e n t o k w a rf e n t a i s i ng k o
148	s j e n t o k w a rf e n t a i o tS o
1492	m i l k w a t rf o s j e n t o s n o b e n t a i D o s
15	k i n s e
150	s j e n t o s i ng k w e n t a
1500	m i l k i n j e n t o s
15000	k i n s e m i l
150000	s j e n t o s i ng k w e n t a m i l
153	s j e n t o s i ng k w e n t a i t rf e s
15322	k i n s e m i l t rf e s j e n t o s b eI n t i D o s
156	s j e n t o s i ng k w e n t a i s eI s
1578	m i l k i n j e n t o s s e t e n t a i o tS o
158	s j e n t o s i ng k w e n t a i o tS o
1594	m i l k i n j e n t o s n o b e n t a i k w a t rf o
16	d j e s i s eI s
160	s j e n t o s e s e n t a
1600	m i l s eI s j e n t o s
16000	d j e s i s eI s m i l
162	s j e n t o s e s e n t a i D o s
162360	s j e n t o s e s e n t a i D o s m i l t rf e s j e n t o s s e s e n t a
162500	s j e n t o s e s e n t a i D o s m i l k i n j e n t o s
164	s j e n t o s e s e n t a i k w a t rf o
164000	s j e n t o s e s e n t a i k w a t rf o m i l
1643	m i l s eI s j e n t o s k w a rf e n t a i t rf e s
1650	m i l s eI s j e n t o s s i ng k w e n t a
16774	d j e s i s eI s m i l s e t e s j e n t o s s e t e n t a i k w a t rf o
169	s j e n t o s e s e n t a i n w e b e
17	d j e s i s j e t e
17000000	d j e s i s j e t e m i L o n e s
1701	m i l s e t e s j e n t o s u n o
175	s j e n t o s e t e n t a i s i ng k o
1762	m i l s e t e s j e n t o s s e s e n t a i D o s
18	d j e s i o tS o
1800	m i l o tS o s j e n t o s
18000	d j e s i o tS o m i l
181	s j e n t o o tS e n t a i u n o
1811	m i l o tS o s j e n t o s o n s e
1812	m i l o tS o s j e n t o s D o s e
1827	m i l o tS o s j e n t o s b eI n t i s j e t e
184	s j e n t o o tS e n t a i k w a t rf o
187	s j e n t o o tS e n t a i s j e t e
1874	m i l o tS o s j e n t o s s e t e n t a i k w a t rf o
